Name,Age,Nationality,Overall,Potential,Position
Maycon,20,Brazil,72,84,CAM
H. Kiyotake,28,Japan,72,72,RM
D. Maroh,31,Slovenia,72,72,LCB
E. ?en,29,Belgium,72,72,CDM
K. Onisiwo,26,Austria,72,72,RM
S. Juklerød,24,Norway,72,77,LB
P. Stenzel,22,Germany,72,77,RB
M. Camara,21,Guinea,72,82,LDM
Douglas,30,Brazil,72,72,LS
D. Le Tallec,28,France,72,73,LCM
R. Gosens,23,Germany,72,77,LM
R. Bobadilla,31,Paraguay,72,72,ST
K. Wolze,28,Germany,72,72,LB
C. Basham,29,England,72,72,RCB
J. Cabot,24,France,72,78,RW
Gonçalo Silva,27,Portugal,72,74,LCB
C. Arboleda,32,Colombia,72,72,RB
G. Lajud,24,Mexico,72,76,GK
Unai Simón,21,Spain,72,82,GK
C. Knasmüllner,26,Austria,72,75,CAM
L. Lollo,31,Argentina,72,72,CB
A. Mili?,24,Croatia,72,77,LB
Ronaldo Vieira,19,England,72,81,CDM
S. Bahoken,26,Cameroon,72,75,ST
Ontiveros,20,Spain,72,82,RM
N. Höfler,28,Germany,72,72,CDM
K. Acosta,22,United States,72,80,CM
Kwoun Sun Tae,33,Korea Republic,72,72,GK
A. Çamdal?,34,Germany,72,72,RDM
B. Linssen,27,Netherlands,72,72,LW
M. Trotta,25,Italy,72,74,ST
J. Dezi,26,Italy,72,74,CM
Choi Chul Soon,31,Korea Republic,72,72,LB
Danilo,26,Brazil,72,73,LB
J. Savarino,21,Venezuela,72,82,RW
M. Zeman,29,Czech Republic,72,72,LM
N. Baker,27,England,72,74,CB
M. Saymak,25,Netherlands,72,76,CAM
Yeom Ki Hun,35,Korea Republic,72,72,ST
J. Murphy,28,Scotland,72,72,LW
E. Prib,28,Russia,72,72,LM
L. Phiri,23,South Africa,72,78,CM
Jubal,24,Brazil,72,76,CB
A. Cubas,22,Argentina,72,79,RCM
Luismi,26,Spain,72,77,CDM
A. Adnan,24,Iraq,72,75,LM
Diogo Gonçalves,21,Portugal,72,81,LW
Rui Fonte,28,Portugal,72,72,ST
J. Bennett,28,England,72,72,LB
S. Ortega,25,Germany,72,76,GK
B. Bia?kowski,30,Poland,72,72,GK
Ricardo Ryller,24,Brazil,72,77,CM
J. Börner,27,Germany,72,72,RCB
Fran Mérida,28,Spain,72,73,CDM
Tito,32,Spain,72,72,RB
S. Sensi,22,Italy,72,77,CDM
A. Weimann,26,Austria,72,72,RS
Fernando Canesín,26,Brazil,72,74,RAM
I. Runje,27,Croatia,72,72,RCB
Vigaray,23,Spain,72,78,RB
P. Olayinka,22,Nigeria,72,79,LM
R. Delgado,28,Argentina,72,72,LB
J. Wiland,37,Sweden,72,72,GK
V. Figueroa,34,Argentina,72,72,LM
Chiquinho,22,Portugal,72,78,LCM
C. Trimmel,31,Austria,72,72,RB
S. Lletget,25,United States,72,74,RCM
C. Jullien,25,France,72,76,LCB
O. Alderete,21,Paraguay,72,82,CB
A. Saelemaekers,19,Belgium,72,84,RB
M. Vran?i?,29,Bosnia Herzegovina,72,72,CM
J. Uronen,23,Finland,72,77,LB
K. Schindler,24,Ghana,72,75,RS
Sin Jin Ho,29,Korea Republic,72,72,LCM
L. Haraslín,22,Slovakia,72,80,LM
A. Fiola,28,Hungary,72,72,RB
X. Schlager,20,Austria,72,83,LCM
N. Jelavi?,32,Croatia,72,72,RS
T. Ben Haim,28,Israel,72,72,LM
Clinton Mata,25,Angola,72,73,RM
S. Hutchinson,28,England,72,72,CDM
J. Russell,28,Scotland,72,72,RW
S. Uçan,24,Turkey,72,77,CM
Renato Neto,26,Brazil,72,73,CM
J. Meram,29,Iraq,72,72,LM
Jorge Miramón,29,Spain,72,72,RB
A. Murgia,21,Italy,72,78,CM
I. Ávila,27,Peru,72,72,ST
T. Kaminski,25,Belgium,72,75,GK
K. Zohore,24,Denmark,72,77,ST
L. Ceppitelli,28,Italy,72,73,LCB
Nuno Coelho,30,Portugal,72,72,CDM
C. Mulgrew,32,Scotland,72,72,CB
D. Dwyer,27,United States,72,72,ST
J. Carrizo,34,Argentina,72,72,GK
F. Peluso,34,Italy,72,72,LB
M. van der Werff,29,Netherlands,72,72,RCB
M. Piedrahita,33,Colombia,72,72,RB
V. Ayala,30,Paraguay,72,72,CM
R. Alvarado,19,Mexico,72,79,CAM
D. Rossi,20,Uruguay,72,83,LW
F. Pisacane,32,Italy,72,72,CB
U. ?osi?,25,Serbia,72,76,CB
Sebá,26,Brazil,72,73,LW
D. Peralta,33,Colombia,72,72,RCB
R. Koch,21,Germany,72,80,LDM
A. Ghazal,26,Egypt,72,75,CDM
A. Federici,33,Australia,72,72,GK
David Simón,28,Spain,72,72,RB
M. Ori?,25,Croatia,72,74,LM
Alexandre Frandeira,30,Brazil,72,72,LCB
A. Tettey,32,Norway,72,72,RDM
G. Hanley,26,Scotland,72,74,CB
Cristian Herrera,27,Spain,72,73,LS
R. Green,38,England,72,72,GK
Gelson Dala,21,Angola,72,82,ST
M. Higashiguchi,32,Japan,72,72,GK
Jorge Teixeira,31,Portugal,72,72,CB
R. Woods,24,England,72,77,CDM
S. Martinsson Ngouali,26,Gabon,72,74,LCM
W. Ángel,25,Venezuela,72,78,LCB
D. Villalpando,26,Mexico,72,73,CAM
M. itum,26,Croatia,72,73,LM
T. Carroll,26,England,72,74,CM
R. Elliot,32,Republic of Ireland,72,72,GK
Sergio Sánchez,32,Spain,72,72,RCB
I. Cofie,26,Ghana,72,73,RDM
S. Byram,24,England,72,75,RB
M. Cauteruccio,31,Uruguay,72,72,ST
K. Molino,28,Trinidad & Tobago,72,72,CAM
L. Ariaudo,29,Italy,72,72,CB
P. Klingmann,30,Germany,72,72,RB
M. Thuram,20,France,72,80,LM
Y. Cahuzac,33,France,72,72,LDM
Elustondo,31,Spain,72,72,CM
S. Downing,33,England,72,72,RW
L. Immers,32,Netherlands,72,72,RCM
C. Menéndez,30,Argentina,72,72,ST
Vágner Corraldo,30,Brazil,72,72,LB
Luso,33,Spain,72,72,LCB
C. Mavinga,27,DR Congo,72,73,LCB
F. Melchiorri,31,Italy,72,72,LS
T. Doumbia,28,Mali,72,72,CDM
A. Trondsen,23,Norway,71,80,LCM
Sivera,21,Spain,71,78,GK
Allison Sireo,30,Brazil,71,71,RCB
Z. Stieber,29,Hungary,71,71,RM
S. Berahino,24,Burundi,71,76,LW
O. Skúlason,35,Iceland,71,71,CDM
L. Koutris,22,Greece,71,78,LB
M. Pektemek,29,Turkey,71,71,CF
R. Schüller,27,Finland,71,71,CDM
Sergio Herrera,25,Spain,71,73,GK
E. Kawashima,35,Japan,71,71,GK
L. Memushaj,31,Albania,71,71,LCM
E. Fernandes,22,Switzerland,71,79,RM
M. Valenzuela,19,Argentina,71,81,LB
H. Lansbury,27,England,71,71,CM
A. Gunn,22,England,71,83,GK
A. Kamara,23,France,71,76,ST
R. Riou,30,France,71,71,GK
Jung Sung Ryong,33,Korea Republic,71,71,GK
A. Caracciolo,28,Italy,71,71,RCB
Ewandro,22,Brazil,71,80,RM
G. Holtmann,23,Germany,71,78,LM
Erik Morán,27,Spain,71,73,CDM
Tobias Figueiredo,24,Portugal,71,75,RCB
I. Rossi,24,Argentina,71,77,LCM
Miltisco Paulino,30,Brazil,71,71,LCB
P. Brlek,24,Croatia,71,76,CM
G. Bettini,25,Argentina,71,74,RB
R. Kent,21,England,71,82,LW
Jordi Calavera,22,Spain,71,77,RB
M. Lekovi?,27,Croatia,71,73,CB
G. Friend,30,England,71,71,LB
S. Aydo?du,27,Turkey,71,71,CM
S. Gashi,29,Albania,71,71,RS
O. Deschacht,37,Belgium,71,71,LCB
E. Cecchini,23,Argentina,71,80,CDM
T. Knipping,25,Germany,71,74,CB
H. Yamaguchi,27,Japan,71,72,RCM
V. Aguilera,29,Argentina,71,71,LCB
J. Cavalli,36,France,71,71,CAM
L. Pasciuti,28,Italy,71,71,LM
M. Makuszewski,28,Poland,71,71,RM
L. Albertengo,27,Argentina,71,72,ST
Serginho,31,Brazil,71,71,CDM
F. Schnellhardt,24,Germany,71,78,CM
M. Pavone,36,Argentina,71,71,ST
T. Goiginger,25,Austria,71,74,RW
K. Beckerman,36,United States,71,71,RCM
Luis García,37,Spain,71,71,RCM
Lyanco,21,Brazil,71,80,CB
A. Luci,33,Italy,71,71,CM
Luca Sangalli,23,Spain,71,79,RM
S. Ameobi,26,England,71,72,CAM
J. Price,25,England,71,74,CDM
Go Yo Han,30,Korea Republic,71,71,RM
O. Hawsawi,32,Saudi Arabia,71,71,CB
Jaime Romero,27,Spain,71,71,RM
S. Grippo,29,Switzerland,71,71,CB
F. Chalov,20,Russia,71,83,RS
L. Siligardi,30,Italy,71,71,RW
D. Appiah,26,France,71,72,RB
S. Silva,37,Uruguay,71,71,RS
J. Paterson,26,England,71,72,LM
T. Barkhuizen,24,England,71,74,RM
I. Bangoura,33,Guinea,71,71,ST
S. Memievi?,24,Bosnia Herzegovina,71,74,LDM
F. Tabanou,29,France,71,71,LB
T. Hoogland,33,Germany,71,71,LCB
G. Pezzella,20,Italy,71,83,LB
D. Kolovetsios,26,Greece,71,74,RCB
Enric Gallego,31,Spain,71,71,RS
J. Garner,30,England,71,71,ST
K. Bonifazi,22,Italy,71,79,CB
Souza,30,Brazil,71,71,LCM
J. Adéoti,29,Benin,71,71,LDM
R. Caroca,28,Chile,71,71,LDM
D. Rosero Valencia,24,Colombia,71,78,RCB
M. Jonji?,27,Croatia,71,73,RCB
A. Tarek,26,Egypt,71,74,CB
O. Fink,36,Germany,71,71,CM
F. Macheda,26,Italy,71,72,ST
M. Duffy,32,England,71,71,CAM
Y. Chibsah,25,Ghana,71,74,RCM
T. Schütz,30,Germany,71,71,LDM
Rodrigo Becão,22,Brazil,71,80,RCB
M. Loum,21,Senegal,71,79,CDM
D. Fletcher,34,Scotland,71,71,CM
Vadillo,23,Spain,71,77,RM
P. Klement,25,Germany,71,72,CAM
A. Gogia,26,Germany,71,72,RW
A. Cole,37,England,71,71,LB
K. Tsimikas,22,Greece,71,78,LB
Mateus,34,Angola,71,71,LM
Babanco,32,Cape Verde,71,71,LDM
X. Mercier,28,France,71,71,LCM
D. Nugent,33,England,71,71,ST
N. Fernández,39,Argentina,71,71,GK
O. Hernández,25,Germany,71,74,LM
E. Mathoho,28,South Africa,71,73,CB
B. Sarr,27,Senegal,71,73,LCM
A. Sagal,25,Chile,71,76,ST
J. Grimm,31,France,71,71,CDM
M. Nyatama,30,South Africa,71,71,RCM
B. Touré,26,Mali,71,75,RDM
Diego González,23,Spain,71,79,CB
S. Rosted,23,Norway,71,76,CB
Y. Suzuki,22,Japan,71,81,RS
I. Sacko,20,France,71,81,ST
Flavio Paixão,33,Portugal,71,71,ST
G. Fernández,34,Argentina,71,71,CAM
J. Hayes,30,Republic of Ireland,71,71,LM
T. Ouwejan,22,Netherlands,71,77,LB
D. Guerrero,30,Mexico,71,71,CDM
W. Routledge,33,England,71,71,RM
C. Paterson,23,Scotland,71,77,RB
Hwang Ui Jo,25,Korea Republic,71,74,ST
G. Kvilitaia,24,Georgia,71,74,ST
R. Krishna,30,Fiji,71,71,RS
T. Castagne,22,Belgium,71,78,LM
Léo Jardim,23,Brazil,71,80,GK
Heitor Gesse,34,Brazil,71,71,LB
L. Majer,20,Croatia,71,83,CAM
R. Carrera,26,Argentina,71,72,RM
B. Celina,21,Kosovo,71,81,LCM
R. Matarrita,23,Costa Rica,71,78,LB
L. Vitale,30,Italy,71,71,LM
R. Gestede,29,Benin,71,71,ST
Pedro López,34,Spain,71,71,RB
J. Lucumi,20,Colombia,71,84,CB
W. Endo,25,Japan,71,75,CDM
João Bardinho,34,Brazil,71,71,LB
F. Barrientos,26,Argentina,71,72,CM
P. Glykos,31,Greece,71,71,GK
C. Moritz,28,Germany,71,71,CM
E. Kachunga,26,DR Congo,71,72,RM
S. Mendoza,26,Colombia,71,72,LM
Diego Galo,34,Brazil,71,71,LCB
Lins,30,Brazil,71,71,ST
G. Pegolo,37,Italy,71,71,GK
U. Bulut,35,Turkey,71,71,ST
Dani Calvo,24,Spain,71,75,CB
Alam Araújo,26,Brazil,71,71,LB
F. Andrijaevi?,27,Croatia,71,72,CAM
I. Fioli?,22,Croatia,71,78,CAM
M. Caire,29,Argentina,71,71,RB
C. Adams,21,England,71,79,RS
P. kuleti?,28,Serbia,71,71,ST
G. Lux,36,Argentina,71,71,GK
P. Kieszek,34,Poland,71,71,GK
B. Cortés,23,Chile,71,81,GK
S. Nishikawa,32,Japan,71,71,GK
M. Lustig,31,Sweden,71,71,RB
A. Bjelica,24,Serbia,71,75,LM
G. Alcoba,33,Uruguay,71,71,CB
J. Rhodes,28,Scotland,71,71,ST
J. Campos,30,Bolivia,71,71,CAM
Borja Lasso,24,Spain,71,77,CAM
O. Cabezas,21,Colombia,71,79,LCB
G. Sunu,27,France,71,71,ST
D. Williams,29,United States,71,71,CM
Nuno Santos,23,Portugal,71,76,LW
N. González,20,Argentina,71,83,LCM
M. Boland,31,Germany,71,71,LCM
M. Bianchetti,25,Italy,71,72,CB
G. Celis,25,Colombia,71,74,CDM
Somália,29,Brazil,71,71,CM
Y. El Ghanassy,27,Belgium,71,71,LM
E. Finlay,27,United States,71,71,RM
A. Uchida,30,Japan,71,71,RB
N. Brighenti,28,Italy,71,71,CB
I. Tajouri-Shradi,24,Libya,71,76,RW
S. Abdullahi,21,Nigeria,71,79,RW
Lionn,29,Brazil,71,71,RB
J. Larsson,28,Sweden,71,71,RB
T. Pachonik,23,Germany,71,77,RB
F. Bellugou,31,France,71,71,LCB
Osmar,30,Spain,71,71,CDM
S. Motta,34,Colombia,71,71,CAM
Pau Torres,21,Spain,71,79,LCB
André Pereira,23,Portugal,71,78,ST
Tiago Sá,23,Portugal,71,79,GK
M. Coda,29,Italy,71,71,ST
W. Mesloub,32,Algeria,71,71,CAM
M. Capuano,26,Italy,71,73,LCB
A. Henríquez,35,Colombia,71,71,CB
G. Dorrans,31,Scotland,71,71,CM
Víctor Díaz,30,Spain,71,71,RB
T. Makino,31,Japan,71,71,LCB
J. Mensah,27,Ghana,71,72,RCB
I. Sylla,24,Guinea,71,75,LB
Cyriac,27,Ivory Coast,71,71,ST
Bernardo,24,Spain,71,78,CB
P. Gollini,23,Italy,71,79,GK
M. Vlap,21,Netherlands,71,78,CAM
Tiago Pombeira,30,Brazil,71,71,RAM
Y. Soteldo,21,Venezuela,71,81,CAM
Rafa López,33,Spain,71,71,RCB
A. Nocerino,33,Italy,71,71,CDM
J. Harper,22,Scotland,71,79,RS
R. De Laet,29,Belgium,71,71,RB
J. Zimmer,24,Germany,71,76,RM
C. S?punaru,34,Romania,71,71,RCB
Afonso Figueiredo,25,Portugal,71,74,LB
J. Omlin,24,Switzerland,71,79,GK
R. Yaremchuk,22,Ukraine,71,76,ST
F. Wiedwald,28,Germany,71,71,GK
A. Galabinov,29,Bulgaria,71,71,ST
Maikel Mesa,27,Spain,71,72,CAM
B. Garnica,22,Mexico,71,77,RM
D. Arslanagic,25,Belgium,71,75,RCB
H. Henao,31,Colombia,71,71,RDM
Y. Kashiwa,30,Japan,71,71,LM
J. Gol,32,Poland,71,71,CDM
N. Ghilas,28,Algeria,71,71,ST
B. McKay,23,Scotland,71,78,LW
Carraça,25,Portugal,71,75,RB
Adriano Facchini,35,Brazil,71,71,GK
A. Callens,26,Peru,71,75,LCB
J. Perbet,33,France,71,71,ST
M. Antonsson,27,Sweden,71,72,LS
Carlitos,35,Portugal,71,71,LM
C. Lucchetti,40,Argentina,71,71,GK
J. Bostock,26,England,71,74,RDM
V. Milinkovi?-Savi?,21,Serbia,71,79,GK
G. Peñalba,33,Argentina,71,71,CM
L. Kleinheisler,24,Hungary,71,76,RCM
R. Aliendro,27,Argentina,71,72,LDM
L. Seijas,32,Venezuela,71,71,RAM
L. Fuentes,31,Mexico,71,71,LB
R. Hassan,27,Nigeria,71,71,RW
L. Di Plácido,24,Argentina,71,75,RM
Heriberto Tavares,21,Portugal,71,80,RW
Pulido,27,Spain,71,72,CB
Ewerton,25,Brazil,71,74,RCM
G. Verón,28,Argentina,71,71,RM
O. Boscagli,20,France,71,81,LB
C. Jerome,31,England,71,71,ST
E. Muñoz,27,Argentina,71,73,CB
U. ?eri?,26,Serbia,71,73,ST
E. Albayrak,27,Turkey,71,72,LB
F. Calvo,25,Costa Rica,71,73,LB
F. Costa,23,Italy,71,77,LM
Xavi Torres,31,Spain,71,71,CDM
A. Cadavid,32,Colombia,71,71,RCB
J. Spector,32,United States,71,71,CB
Felipe,31,Brazil,71,71,CB
M. Dijks,25,Netherlands,71,74,LM
M. Hassen,23,Tunisia,71,78,GK
M. Bourabia,26,Morocco,71,72,RCM
L. Hejda,28,Czech Republic,71,73,CB
E. Bergström,25,Sweden,71,75,CB
Shikabala,32,Egypt,71,71,LW
Aurélio Buta,21,Portugal,71,79,RB
C. Penilla,27,Ecuador,71,71,LM
D. Cools,22,Belgium,71,78,RM
D. Muñoz,22,Colombia,71,79,RB
G. Sandoval,22,Mexico,71,80,LM
Y. Bodiger,23,France,71,79,CDM
T. Kleindienst,22,Germany,71,76,ST
J. Abella,24,Mexico,71,75,RB
U. Emanuelson,32,Netherlands,71,71,LCM
R. Tesche,31,Germany,71,71,LDM
B. Nivet,41,France,71,71,CAM
Léo Jabá,19,Brazil,71,82,LM
Paulo Henrique,29,Brazil,71,71,ST
Y. Meriah,24,Tunisia,71,75,CB
A. Soto,24,Argentina,71,75,LB
J. Quiñones,21,Colombia,71,81,ST
Domingos Duarte,23,Portugal,71,79,RCB
E. Ba?san,26,Turkey,71,72,RM
F. Avenatti,25,Uruguay,71,73,RS
V. Fiorillo,28,Italy,71,71,GK
O. González,33,Chile,71,71,RCB
Zheng Zhi,37,China PR,71,71,RDM
M. Henriksen,25,Norway,71,74,CM
Paulolettinho,34,Brazil,71,71,LAM
S. Malezas,33,Greece,71,71,CB
W. Lautoa,30,New Caledonia,71,71,LCB
M. Fofana,26,Ivory Coast,71,71,LM
J. Cornejo,27,Chile,71,71,LB
J. Duque,31,Colombia,71,71,ST
E. Horvath,23,United States,71,77,GK
J. McClean,29,Republic of Ireland,71,71,LW
A. Guédioura,32,Algeria,71,71,RDM
E. Valentini,29,Germany,71,71,RB
J. imunovi?,23,Bosnia Herzegovina,71,76,CB
C. Kouamé,20,Ivory Coast,71,85,RS
N. De Pauw,28,Belgium,71,71,CAM
Alex das Freitas,30,Brazil,71,71,LDM
Mossa,29,Spain,71,71,LWB
J. Marriott,23,England,71,78,ST
J. Riojas,30,Paraguay,71,71,RM
L. Fröde,23,Germany,71,79,CDM
L. Pokorný,24,Czech Republic,71,77,CB
D. Vavro,22,Slovakia,71,81,RCB
M. Bjärsmyr,32,Sweden,71,71,RCB
Oriol Riera,31,Spain,71,71,ST
M. Maolida,19,France,71,85,ST
M. Mostefa,34,Algeria,71,71,RDM
R. Carrascal,25,Colombia,71,73,LCM
O. Mangala,20,Belgium,71,82,CDM
M. Barthelmé,29,France,71,71,LCM
A. Novikovas,27,Lithuania,71,71,RM
Ji Dong Won,27,Korea Republic,71,71,CF
R. Rúnarsson,23,Iceland,71,79,GK
D. Rotariu,22,Romania,71,78,RW
Paulinho,17,Brazil,71,86,RM
Juan Carlos,27,Spain,71,71,CAM
M. Korhut,29,Hungary,71,71,LB
S. Piette,23,Canada,71,76,CDM
N. Ortigoza,33,Paraguay,71,71,LDM
António Filipe,33,Portugal,71,71,GK
M. Pereira Lage,21,Portugal,71,81,CAM
Jean Cléber,28,Brazil,71,71,LDM
O. Danchenko,23,Ukraine,71,77,RB
C. Pantilimon,31,Romania,71,71,GK
Guillermo,25,Spain,71,76,ST
O. Vizcarrondo,34,Venezuela,71,71,CB
E. Aguirre,21,Mexico,71,82,LM
Edu Machado,28,Portugal,71,71,RB
H. Dean,26,England,71,73,LCB
D. Andrade,27,Colombia,71,71,LB
D. Martínez,28,Argentina,71,71,RWB
C. Bryson,31,Scotland,71,71,RCM
B. Ba?aç?ko?lu,23,Turkey,71,76,LM
K. Mrabti,24,Sweden,71,77,LCM
M. Fraga,30,Mexico,71,71,GK
I. Oblyakov,19,Russia,71,82,CM
S. Logan,30,England,71,71,RB
D. Kaiser,29,Germany,71,71,CAM
D. Silva,31,Colombia,71,71,LCM
A. Nwakaeme,29,Nigeria,71,71,LM
J. Sambenito,26,Paraguay,71,74,ST
Toribio,29,Spain,71,71,RDM
M. Yumlu,30,Turkey,71,71,LCB
A. Miloevi?,26,Sweden,71,74,RCB
D. Nounkeu,32,Cameroon,71,71,CB
M. Barragán,26,Mexico,71,72,ST
M. Ilaimaharitra,22,Madagascar,71,77,RDM
H. González,27,Mexico,71,72,GK
J. El Yamiq,26,Morocco,71,72,CB
João Teixeira,24,Portugal,71,75,LW
M. Doumbia,23,Mali,71,77,LM
R. Brégerie,31,France,71,71,CB
A. Diallo,26,Senegal,71,75,GK
M. Bruno,24,Belgium,71,74,RM
J. Faussurier,31,France,71,71,RM
C. Wickham,25,England,71,75,ST
A. Abrashi,28,Albania,71,71,CDM
K. Nakamura,23,Japan,71,77,GK
Suso Santana,33,Spain,71,71,RM
J. Bowen,21,England,71,81,RM
Garrido,28,Spain,71,71,RDM
E. N'Dicka,18,France,71,83,LCB
J. González,19,Mexico,71,81,CM
M. Suárez,22,Uruguay,71,78,RB
Y. Andreu,29,France,71,71,LB
J. Obita,24,England,71,75,LB
Z. Erdal,30,Turkey,71,71,LB
L. Capezzi,23,Italy,71,79,CM
Elsinho,28,Brazil,71,71,RB
D. Asprilla,29,Colombia,71,71,RW
S. Torrico,38,Argentina,71,71,GK
Léo Gamalho,32,Brazil,71,71,ST
J. Plail,36,Czech Republic,71,71,CM
T. Darikwa,26,Zimbabwe,71,72,RB
Guilherme Sityá,28,Brazil,71,71,LB
Escassi,29,Spain,71,72,CDM
G. Achilier,33,Ecuador,71,71,LCB
Verza,31,Spain,71,71,RCM
B. Salamon,27,Poland,71,72,CB
A. Forshaw,26,England,71,72,LCM
J. Quiñones,28,Colombia,71,72,RCB
W. Camacho,32,Uruguay,71,71,LM
T. Buffel,37,Belgium,71,71,RM
Xisco,32,Spain,71,71,ST
Adeilson Gesser,26,Brazil,71,71,RAM
Roderick Miranda,27,Portugal,71,74,CB
N. Besara,27,Sweden,71,72,CAM
D. Zbozie?,29,Poland,71,71,RB
J. Cuero,30,Colombia,71,71,LM
R. Coly,22,Senegal,71,78,LB
K. Müller,27,Germany,71,72,GK
R. Zozulya,28,Ukraine,71,71,ST
R. Mphahlele,28,South Africa,71,71,RB
K. Lee,30,England,71,71,CM
B. Koita,27,France,71,71,ST
Heltinho Melo,34,Brazil,71,71,LAM
Nascimentardo,30,Brazil,71,71,RAM
P. Barrera,31,Mexico,71,71,RM
R. Pucino,27,Italy,71,72,RB
Miguel Rodrigues,25,Portugal,71,74,CB
C. Pinares,27,Chile,71,72,LCM
A. Gonçalves,32,France,71,71,CM
K. Musona,28,Zimbabwe,71,71,CF
Tiago,25,Brazil,71,72,ST
N. Leiva,21,Spain,71,79,LM
A. Schiavone,25,Italy,71,76,CM
Manuel da Costa,32,Morocco,71,71,RCB
S. Hierländer,27,Austria,71,71,RM
Bruno Alves,36,Portugal,71,71,RCB
J. Velázquez,27,Argentina,71,73,RCB
M. Chanot,28,Luxembourg,71,73,RCB
O. McBurnie,22,Scotland,71,80,ST
J. Onomah,21,England,71,83,CAM
M. Madl,30,Austria,71,71,RCB
Cucurella,19,Spain,71,82,LM
C. Araujo,36,Argentina,71,71,LB
M. Hartmann,30,Germany,71,71,CDM
M. Spiranovic,30,Australia,71,71,CB
Chong Te Se,34,Korea DPR,71,71,ST
M. Albornoz,27,Chile,71,71,LB
A. Nukan,24,Turkey,71,78,CB
L. Szuka?a,34,Poland,71,71,CB
E. Perlaza,29,Colombia,71,71,RB
M. Dal Hende,27,Denmark,71,71,LWB
Emerson Avintes,26,Brazil,71,71,RAM
Saberto Botelho,30,Brazil,71,71,LDM
J. Dahlin,31,Sweden,71,71,GK
Martin Cordeia,34,Brazil,71,71,CAM
A. Oukidja,29,Algeria,71,72,GK
B. Angulo,22,Ecuador,71,77,ST
S. Burchert,28,Germany,71,71,GK
Nélson Monte,22,Portugal,71,77,CB
D. Rojas,23,Chile,71,76,CAM
Charles,24,Brazil,71,77,GK
H. Wolf,19,Austria,71,82,CAM
E. Videla,30,Argentina,71,71,CM
P. Ledesma,34,Argentina,71,71,CDM
R. van Drongelen,19,Netherlands,71,83,LCB
F. Jensen,20,Finland,71,80,CF
Artur,22,Brazil,71,76,RDM
Edgar Costa,31,Portugal,71,71,RM
S. Martínez,24,Chile,71,74,CDM
D. Fisher,24,England,71,75,RB
L. Clarke,33,England,71,71,ST
T. Hubo?an,32,Slovakia,71,71,CB
Dani Castellano,30,Spain,71,71,LB
Javi Castellano,30,Spain,71,71,CM
P. Olkowski,28,Poland,71,71,RB
M. Caligiuri,34,Germany,71,71,CB
Marlion Rolim,26,Brazil,71,71,LAM
D. Burn,26,England,71,73,LCB
S. Schwab,27,Austria,71,72,RDM
O. Aina,21,Nigeria,71,80,RB
A. Mina,27,Ecuador,71,73,LCB
S. Guirassy,22,France,71,79,ST
L. Paqarada,23,Kosovo,71,75,LB
J. Sánchez,28,Mexico,71,71,RB
J. Wallace,24,England,71,74,RM
Jota,25,Portugal,71,75,LCM
Jesús Imaz,27,Spain,71,71,CAM
Dani Hernández,32,Venezuela,71,71,GK
K. Diatta,19,Senegal,71,84,RM
X. Chavalerin,27,France,71,72,LDM
G. Tzavellas,30,Greece,71,71,LCB
O. Omoijuanfo,24,Norway,71,78,LS
S. Dimitrievski,24,FYR Macedonia,71,77,GK
Eltildo Bessa,34,Brazil,71,71,ST
B. Marshall,27,England,71,71,LM
N. Mendez-Laing,26,England,71,72,RW
Álex Martínez,27,Spain,71,71,LB
Z. Bakkali,22,Belgium,71,77,LM
G. Gimbert,32,France,71,71,ST
M. Gaji?,22,Serbia,71,75,RB
S. Aigner,30,Germany,71,71,ST
P. Köpke,22,Germany,71,79,ST
F. Klos,30,Germany,71,71,RS
K. McLean,26,Scotland,71,73,CM
M. Olsson,30,Sweden,71,71,LB
C. Nyman,25,Sweden,71,74,ST
O. Estupiñán,21,Colombia,71,79,ST
B. Wright,25,Australia,71,74,CB
J. Bednarek,22,Poland,71,80,LCB
L. Vibe,31,Denmark,71,71,ST
O. Jiménez,29,Mexico,71,71,GK
Alejandro Rodríguez,26,Spain,71,71,ST
T. Elphick,30,England,71,71,RCB
David Ferreiro,30,Spain,71,71,LM
M. Gobbi,37,Italy,71,71,LB
R. Insigne,24,Italy,71,75,RW
N. Gyömbér,25,Slovakia,71,74,RCB
Túlio Sandoiro,34,Brazil,71,71,ST
Hélder Barbosa,31,Portugal,71,71,LM
B. Sako,30,Mali,71,71,LM
M. Domizzi,38,Italy,71,71,CB
P. Oniangué,29,Congo,71,71,CDM
P. Onuachu,24,Nigeria,71,78,ST
F. Balmont,38,France,71,71,CM
Antoñito,30,Spain,71,71,RB
A. Baby,29,Senegal,71,71,LM
B. Petkovi?,23,Croatia,71,76,ST
Nélson Lenho,34,Portugal,71,71,LB
Gumbau,23,Spain,71,77,CDM
C. Aboagye,23,Ghana,71,77,CM
Y. Erdo?an,25,Turkey,71,72,LM
Paulinho,32,Brazil,71,71,ST
J. Cooper,23,England,71,75,LCB
S. Malone,27,England,71,72,LB
M. Malo?a,29,Croatia,71,71,RCB
G. Berardi,29,Switzerland,71,71,RB
Samu García,28,Spain,71,71,RM
T. Derijck,31,Belgium,71,71,CB
A. Khalili,26,Sweden,71,74,CAM
Y. Endo,38,Japan,71,71,RCM
E. Kaçe,24,Albania,71,74,LDM
D. Machado,24,Colombia,71,75,LB
S. Plavi?,22,Serbia,71,77,LM
